X wins,O wins,Draw
65,0,35
75,0,25
68,0,32
57,0,43
70,0,30
67,0,33
67,0,33
68,0,32
68,0,32
64,0,36
73,0,27
64,0,36
65,0,35
64,0,36
68,0,32
70,0,30
69,0,31
63,0,37
62,0,38
65,0,35
63,0,37
61,0,39
71,0,29
66,0,34
68,0,32
77,0,23
68,0,32
75,0,25
62,0,38
67,0,33
72,0,28
71,0,29
67,0,33
60,0,40
64,0,36
70,0,30
67,0,33
66,0,34
65,0,35
65,0,35
65,0,35
71,0,29
64,0,36
68,0,32
66,0,34
61,0,39
60,0,40
63,0,37
64,0,36
61,0,39
78,0,22
67,0,33
66,0,34
66,0,34
74,0,26
59,0,41
70,0,30
74,0,26
68,0,32
61,0,39
69,0,31
71,0,29
65,0,35
66,0,34
68,0,32
71,0,29
72,0,28
74,0,26
67,0,33
65,0,35
69,0,31
67,0,33
67,0,33
67,0,33
67,0,33
61,0,39
66,0,34
60,0,40
75,0,25
70,0,30
68,0,32
64,0,36
71,0,29
69,0,31
63,0,37
62,0,38
59,0,41
70,0,30
74,0,26
63,0,37
75,0,25
64,0,36
70,0,30
66,0,34
78,0,22
72,0,28
65,0,35
68,0,32
52,0,48
71,0,29
65,0,35
59,0,41
63,0,37
62,0,38
71,0,29
64,0,36
62,0,38
81,0,19
71,0,29
67,0,33
72,0,28
68,0,32
71,0,29
74,0,26
68,0,32
62,0,38
68,0,32
69,0,31
70,0,30
69,0,31
71,0,29
67,0,33
59,0,41
68,0,32
67,0,33
73,0,27
69,0,31
72,0,28
62,0,38
71,0,29
66,0,34
66,0,34
61,0,39
63,0,37
60,0,40
65,0,35
77,0,23
56,0,44
66,0,34
70,0,30
64,0,36
73,0,27
67,0,33
62,0,38
65,0,35
68,0,32
66,0,34
67,0,33
71,0,29
71,0,29
66,0,34
64,0,36
63,0,37
63,0,37
70,0,30
64,0,36
74,0,26
63,0,37
75,0,25
69,0,31
60,0,40
66,0,34
62,0,38
57,0,43
56,0,44
74,0,26
70,0,30
67,0,33
68,0,32
70,0,30
70,0,30
68,0,32
64,0,36
72,0,28
69,0,31
58,0,42
71,0,29
65,0,35
68,0,32
62,0,38
75,0,25
72,0,28
60,0,40
68,0,32
59,0,41
69,0,31
63,0,37
66,0,34
70,0,30
66,0,34
56,0,44
72,0,28
61,0,39
69,0,31
60,0,40
65,0,35
66,0,34
75,0,25
74,0,26
72,0,28
70,0,30
62,0,38
65,0,35
59,0,41
61,0,39
70,0,30
72,0,28
67,0,33
71,0,29
71,0,29
60,0,40
58,0,42
66,0,34
71,0,29
68,0,32
72,0,28
65,0,35
68,0,32
72,0,28
70,0,30
69,0,31
66,0,34
68,0,32
60,0,40
72,0,28
63,0,37
74,0,26
63,0,37
70,0,30
64,0,36
72,0,28
65,0,35
71,0,29
72,0,28
66,0,34
66,0,34
63,0,37
51,0,49
56,0,44
65,0,35
68,0,32
75,0,25
78,0,22
65,0,35
76,0,24
67,0,33
69,0,31
71,0,29
68,0,32
75,0,25
70,0,30
71,0,29
71,0,29
63,0,37
72,0,28
68,0,32
63,0,37
61,0,39
82,0,18
74,0,26
60,0,40
65,0,35
70,0,30
77,0,23
67,0,33
66,0,34
74,0,26
62,0,38
70,0,30
64,0,36
74,0,26
73,0,27
67,0,33
62,0,38
72,0,28
68,0,32
72,0,28
71,0,29
60,0,40
68,0,32
62,0,38
69,0,31
61,0,39
70,0,30
73,0,27
70,0,30
73,0,27
67,0,33
72,0,28
65,0,35
58,0,42
66,0,34
72,0,28
67,0,33
70,0,30
66,0,34
72,0,28
76,0,24
64,0,36
65,0,35
63,0,37
75,0,25
64,0,36
62,0,38
63,0,37
63,0,37
67,0,33
70,0,30
69,0,31
67,0,33
67,0,33
68,0,32
65,0,35
63,0,37
67,0,33
65,0,35
63,0,37
67,0,33
70,0,30
73,0,27
66,0,34
63,0,37
58,0,42
62,0,38
64,0,36
71,0,29
71,0,29
67,0,33
64,0,36
64,0,36
60,0,40
66,0,34
62,0,38
73,0,27
63,0,37
72,0,28
66,0,34
69,0,31
72,0,28
66,0,34
61,0,39
65,0,35
70,0,30
67,0,33
65,0,35
66,0,34
62,0,38
63,0,37
62,0,38
69,0,31
68,0,32
63,0,37
72,0,28
66,0,34
67,0,33
66,0,34
65,0,35
68,0,32
68,0,32
67,0,33
72,0,28
72,0,28
66,0,34
73,0,27
71,0,29
65,0,35
67,0,33
74,0,26
66,0,34
69,0,31
64,0,36
65,0,35
65,0,35
63,0,37
60,0,40
82,0,18
65,0,35
56,0,44
67,0,33
67,0,33
67,0,33
65,0,35
74,0,26
68,0,32
67,0,33
61,0,39
67,0,33
69,0,31
70,0,30
67,0,33
70,0,30
77,0,23
68,0,32
68,0,32
65,0,35
62,0,38
58,0,42
65,0,35
69,0,31
66,0,34
59,0,41
67,0,33
62,0,38
64,0,36
65,0,35
60,0,40
67,0,33
67,0,33
68,0,32
76,0,24
69,0,31
71,0,29
66,0,34
63,0,37
72,0,28
58,0,42
68,0,32
64,0,36
68,0,32
70,0,30
63,0,37
69,0,31
68,0,32
66,0,34
66,0,34
69,0,31
66,0,34
59,0,41
68,0,32
75,0,25
59,0,41
67,0,33
70,0,30
68,0,32
63,0,37
75,0,25
64,0,36
71,0,29
74,0,26
59,0,41
78,0,22
60,0,40
68,0,32
66,0,34
72,0,28
62,0,38
67,0,33
70,0,30
65,0,35
64,0,36
67,0,33
65,0,35
69,0,31
60,0,40
71,0,29
63,0,37
57,0,43
58,0,42
71,0,29
66,0,34
66,0,34
72,0,28
69,0,31
71,0,29
63,0,37
70,0,30
62,0,38
64,0,36
64,0,36
66,0,34
70,0,30
68,0,32
58,0,42
59,0,41
64,0,36
69,0,31
70,0,30
70,0,30
67,0,33
67,0,33
61,0,39
61,0,39
66,0,34
70,0,30
74,0,26
71,0,29
65,0,35
65,0,35
56,0,44
70,0,30
71,0,29
55,0,45
72,0,28
68,0,32
74,0,26
66,0,34
69,0,31
69,0,31
66,0,34
65,0,35
