X wins,O wins,Draw
97,0,3
97,0,3
96,0,4
99,0,1
96,0,4
97,0,3
94,0,6
98,0,2
100,0,0
97,0,3
93,0,7
98,0,2
100,0,0
97,0,3
97,0,3
100,0,0
97,0,3
96,0,4
97,0,3
99,0,1
99,0,1
99,0,1
98,0,2
95,0,5
97,0,3
98,0,2
99,0,1
98,0,2
99,0,1
97,0,3
97,0,3
96,0,4
97,0,3
97,0,3
96,0,4
98,0,2
95,0,5
94,0,6
95,0,5
97,0,3
94,0,6
97,0,3
95,0,5
98,0,2
94,0,6
99,0,1
96,0,4
91,0,9
95,0,5
100,0,0
96,0,4
97,0,3
96,0,4
100,0,0
93,0,7
98,0,2
97,0,3
96,0,4
96,0,4
99,0,1
99,0,1
87,0,13
94,0,6
98,0,2
97,0,3
99,0,1
94,0,6
97,0,3
94,0,6
96,0,4
98,0,2
97,0,3
97,0,3
96,0,4
99,0,1
96,0,4
99,0,1
96,0,4
96,0,4
98,0,2
95,0,5
95,0,5
96,0,4
97,0,3
99,0,1
97,0,3
99,0,1
96,0,4
97,0,3
98,0,2
98,0,2
96,0,4
97,0,3
97,0,3
97,0,3
97,0,3
98,0,2
95,0,5
97,0,3
100,0,0
95,0,5
100,0,0
100,0,0
96,0,4
96,0,4
98,0,2
96,0,4
97,0,3
98,0,2
97,0,3
98,0,2
99,0,1
96,0,4
100,0,0
95,0,5
97,0,3
98,0,2
99,0,1
96,0,4
97,0,3
97,0,3
100,0,0
95,0,5
99,0,1
98,0,2
99,0,1
99,0,1
97,0,3
97,0,3
96,0,4
94,0,6
98,0,2
98,0,2
96,0,4
94,0,6
100,0,0
96,0,4
97,0,3
99,0,1
97,0,3
93,0,7
96,0,4
96,0,4
95,0,5
96,0,4
100,0,0
98,0,2
97,0,3
98,0,2
96,0,4
94,0,6
95,0,5
96,0,4
99,0,1
97,0,3
98,0,2
97,0,3
98,0,2
97,0,3
94,0,6
99,0,1
99,0,1
98,0,2
97,0,3
99,0,1
95,0,5
97,0,3
98,0,2
94,0,6
98,0,2
97,0,3
96,0,4
96,0,4
99,0,1
99,0,1
100,0,0
98,0,2
98,0,2
93,0,7
97,0,3
95,0,5
96,0,4
97,0,3
95,0,5
100,0,0
98,0,2
97,0,3
98,0,2
91,0,9
97,0,3
98,0,2
96,0,4
97,0,3
100,0,0
100,0,0
98,0,2
100,0,0
97,0,3
97,0,3
97,0,3
95,0,5
100,0,0
97,0,3
96,0,4
99,0,1
99,0,1
95,0,5
99,0,1
98,0,2
100,0,0
97,0,3
97,0,3
98,0,2
97,0,3
98,0,2
98,0,2
96,0,4
97,0,3
97,0,3
94,0,6
95,0,5
97,0,3
95,0,5
99,0,1
98,0,2
98,0,2
97,0,3
97,0,3
98,0,2
97,0,3
99,0,1
98,0,2
95,0,5
95,0,5
96,0,4
94,0,6
99,0,1
98,0,2
99,0,1
97,0,3
97,0,3
99,0,1
98,0,2
99,0,1
98,0,2
96,0,4
97,0,3
96,0,4
93,0,7
97,0,3
91,0,9
97,0,3
97,0,3
95,0,5
95,0,5
96,0,4
96,0,4
96,0,4
98,0,2
99,0,1
95,0,5
98,0,2
95,0,5
95,0,5
97,0,3
98,0,2
96,0,4
96,0,4
96,0,4
95,0,5
95,0,5
98,0,2
98,0,2
97,0,3
97,0,3
98,0,2
98,0,2
96,0,4
97,0,3
96,0,4
98,0,2
96,0,4
96,0,4
95,0,5
95,0,5
96,0,4
98,0,2
96,0,4
96,0,4
100,0,0
91,0,9
99,0,1
94,0,6
96,0,4
90,0,10
94,0,6
97,0,3
95,0,5
97,0,3
98,0,2
97,0,3
95,0,5
97,0,3
97,0,3
94,0,6
98,0,2
95,0,5
98,0,2
98,0,2
97,0,3
98,0,2
100,0,0
98,0,2
97,0,3
98,0,2
97,0,3
96,0,4
94,0,6
98,0,2
97,0,3
100,0,0
95,0,5
100,0,0
99,0,1
96,0,4
98,0,2
94,0,6
95,0,5
99,0,1
96,0,4
98,0,2
95,0,5
95,0,5
95,0,5
95,0,5
98,0,2
94,0,6
97,0,3
98,0,2
99,0,1
95,0,5
99,0,1
98,0,2
97,0,3
95,0,5
96,0,4
95,0,5
97,0,3
95,0,5
98,0,2
97,0,3
96,0,4
96,0,4
98,0,2
98,0,2
97,0,3
96,0,4
98,0,2
100,0,0
96,0,4
96,0,4
96,0,4
95,0,5
95,0,5
97,0,3
95,0,5
99,0,1
97,0,3
98,0,2
99,0,1
99,0,1
97,0,3
98,0,2
98,0,2
94,0,6
96,0,4
98,0,2
96,0,4
98,0,2
97,0,3
97,0,3
98,0,2
95,0,5
93,0,7
96,0,4
95,0,5
98,0,2
93,0,7
91,0,9
95,0,5
93,0,7
94,0,6
99,0,1
98,0,2
99,0,1
99,0,1
97,0,3
98,0,2
98,0,2
94,0,6
93,0,7
95,0,5
99,0,1
96,0,4
95,0,5
96,0,4
98,0,2
96,0,4
96,0,4
96,0,4
97,0,3
98,0,2
96,0,4
95,0,5
98,0,2
99,0,1
97,0,3
97,0,3
97,0,3
100,0,0
96,0,4
97,0,3
99,0,1
98,0,2
96,0,4
100,0,0
97,0,3
96,0,4
100,0,0
95,0,5
95,0,5
100,0,0
97,0,3
97,0,3
99,0,1
97,0,3
96,0,4
98,0,2
97,0,3
97,0,3
95,0,5
99,0,1
98,0,2
99,0,1
96,0,4
99,0,1
94,0,6
95,0,5
96,0,4
97,0,3
97,0,3
96,0,4
97,0,3
98,0,2
96,0,4
99,0,1
99,0,1
97,0,3
97,0,3
98,0,2
94,0,6
95,0,5
96,0,4
98,0,2
98,0,2
95,0,5
98,0,2
98,0,2
96,0,4
93,0,7
97,0,3
99,0,1
96,0,4
94,0,6
99,0,1
95,0,5
96,0,4
97,0,3
97,0,3
95,0,5
98,0,2
97,0,3
99,0,1
98,0,2
94,0,6
96,0,4
97,0,3
95,0,5
97,0,3
97,0,3
98,0,2
98,0,2
98,0,2
97,0,3
99,0,1
94,0,6
97,0,3
98,0,2
97,0,3
100,0,0
