X wins,O wins,Draw
12,47,41
5,45,50
10,53,37
8,54,38
7,49,44
7,42,51
5,47,48
4,40,56
8,46,46
12,52,36
4,53,43
10,51,39
5,53,42
5,50,45
12,39,49
4,40,56
8,48,44
5,49,46
3,45,52
11,38,51
11,41,48
7,54,39
9,34,57
8,37,55
10,52,38
5,43,52
5,52,43
4,31,65
7,45,48
10,56,34
5,53,42
8,47,45
7,50,43
8,45,47
8,44,48
10,40,50
8,48,44
8,51,41
8,45,47
5,50,45
6,57,37
6,52,42
10,39,51
3,46,51
5,56,39
5,49,46
6,56,38
11,43,46
7,46,47
8,52,40
8,40,52
7,49,44
8,51,41
7,38,55
7,43,50
4,40,56
8,40,52
10,45,45
10,51,39
8,46,46
5,48,47
6,56,38
9,49,42
11,43,46
11,44,45
10,37,53
9,57,34
10,31,59
4,38,58
7,52,41
7,50,43
6,41,53
9,51,40
10,48,42
8,49,43
7,45,48
9,54,37
4,55,41
5,46,49
7,44,49
3,53,44
10,45,45
10,47,43
11,35,54
4,49,47
8,56,36
2,58,40
8,48,44
6,42,52
5,43,52
8,42,50
11,48,41
6,44,50
9,42,49
6,51,43
6,48,46
7,52,41
10,48,42
8,42,50
7,50,43
5,49,46
4,51,45
13,44,43
7,41,52
7,43,50
8,50,42
7,49,44
10,46,44
7,47,46
7,43,50
9,50,41
9,45,46
9,40,51
6,52,42
7,49,44
10,44,46
6,51,43
8,44,48
8,53,39
8,45,47
13,37,50
6,38,56
7,40,53
9,42,49
9,48,43
2,49,49
7,49,44
6,49,45
7,47,46
8,49,43
7,48,45
8,55,37
11,44,45
4,55,41
10,41,49
11,49,40
8,45,47
6,53,41
9,40,51
8,46,46
9,48,43
5,46,49
10,42,48
6,38,56
4,51,45
9,54,37
3,51,46
7,50,43
13,44,43
7,42,51
8,45,47
7,45,48
6,54,40
7,41,52
9,42,49
7,46,47
10,50,40
7,52,41
6,44,50
13,40,47
7,47,46
5,53,42
5,52,43
7,50,43
6,55,39
8,44,48
10,45,45
8,47,45
6,56,38
8,52,40
4,56,40
6,49,45
13,44,43
8,45,47
7,43,50
9,42,49
4,50,46
11,49,40
8,45,47
9,38,53
10,35,55
8,42,50
12,42,46
13,44,43
8,46,46
8,64,28
5,50,45
10,41,49
10,44,46
4,43,53
8,45,47
12,42,46
7,48,45
10,48,42
11,37,52
6,51,43
8,41,51
12,47,41
2,51,47
6,41,53
9,36,55
11,54,35
5,49,46
11,41,48
8,35,57
4,46,50
8,47,45
3,40,57
4,47,49
11,36,53
7,48,45
4,55,41
3,43,54
1,40,59
9,47,44
4,44,52
8,44,48
9,50,41
5,49,46
9,48,43
7,47,46
6,50,44
4,44,52
8,49,43
14,45,41
11,47,42
7,48,45
9,46,45
2,44,54
6,48,46
7,48,45
6,47,47
4,44,52
6,51,43
9,46,45
8,50,42
8,44,48
12,45,43
8,47,45
8,50,42
4,50,46
4,44,52
8,47,45
7,46,47
3,43,54
7,41,52
6,46,48
7,47,46
4,46,50
6,45,49
6,50,44
10,46,44
7,37,56
6,49,45
4,60,36
8,44,48
14,53,33
5,49,46
7,48,45
10,46,44
6,53,41
13,40,47
5,50,45
7,43,50
8,41,51
6,50,44
10,50,40
8,45,47
10,41,49
4,49,47
9,53,38
10,47,43
6,50,44
9,43,48
8,49,43
9,43,48
12,50,38
8,48,44
9,44,47
