X wins,O wins,Draw
60,27,13
59,30,11
56,31,13
63,27,10
58,35,7
72,20,8
70,18,12
57,32,11
62,22,16
56,31,13
62,23,15
53,35,12
54,33,13
55,30,15
48,38,14
55,26,19
65,22,13
60,32,8
62,28,10
54,31,15
64,24,12
57,31,12
57,32,11
58,27,15
56,32,12
69,19,12
66,21,13
68,22,10
57,27,16
59,30,11
59,21,20
60,30,10
58,28,14
58,28,14
55,32,13
64,30,6
57,32,11
51,32,17
57,30,13
57,32,11
57,27,16
59,28,13
56,31,13
53,38,9
64,26,10
48,38,14
59,24,17
54,33,13
61,27,12
64,26,10
65,22,13
64,29,7
62,26,12
60,28,12
64,24,12
63,27,10
59,31,10
61,26,13
56,28,16
54,30,16
60,25,15
62,27,11
59,27,14
67,27,6
52,33,15
61,30,9
65,23,12
59,21,20
59,22,19
63,22,15
60,26,14
47,37,16
58,33,9
52,32,16
49,33,18
64,29,7
63,27,10
51,34,15
56,34,10
63,25,12
58,23,19
54,33,13
68,21,11
58,26,16
52,38,10
54,28,18
58,33,9
65,29,6
65,22,13
51,36,13
53,38,9
58,30,12
60,26,14
58,28,14
58,31,11
52,38,10
55,30,15
56,30,14
60,29,11
53,32,15
59,27,14
68,22,10
61,27,12
66,24,10
57,30,13
46,39,15
54,26,20
61,24,15
67,27,6
63,22,15
60,27,13
60,23,17
55,32,13
62,26,12
54,32,14
56,31,13
51,35,14
55,32,13
62,27,11
62,24,14
62,28,10
56,33,11
54,34,12
51,31,18
49,37,14
57,28,15
59,26,15
65,22,13
55,25,20
59,27,14
59,29,12
52,33,15
55,33,12
62,22,16
54,34,12
62,26,12
60,33,7
59,28,13
53,31,16
55,28,17
60,29,11
64,25,11
61,27,12
51,32,17
51,30,19
50,33,17
63,25,12
64,21,15
56,26,18
60,29,11
51,36,13
50,35,15
60,28,12
58,21,21
61,31,8
58,34,8
59,27,14
57,34,9
63,26,11
51,39,10
59,31,10
59,28,13
64,27,9
61,23,16
60,29,11
56,30,14
60,28,12
57,31,12
62,28,10
59,32,9
52,32,16
62,25,13
61,35,4
55,30,15
56,29,15
66,22,12
64,28,8
67,21,12
55,34,11
63,25,12
65,28,7
63,27,10
55,39,6
57,30,13
57,28,15
60,29,11
53,37,10
57,32,11
58,25,17
62,26,12
59,29,12
55,28,17
59,29,12
56,29,15
61,27,12
69,18,13
62,27,11
64,26,10
60,30,10
54,34,12
59,31,10
66,23,11
60,31,9
59,25,16
58,32,10
66,22,12
69,21,10
67,22,11
56,32,12
51,33,16
64,24,12
56,32,12
64,25,11
51,30,19
59,29,12
52,39,9
59,31,10
57,31,12
64,21,15
60,24,16
61,21,18
66,24,10
65,24,11
57,29,14
63,27,10
48,28,24
57,28,15
54,30,16
54,38,8
51,25,24
56,32,12
62,20,18
66,28,6
66,25,9
65,29,6
50,34,16
63,23,14
54,33,13
57,34,9
66,24,10
62,29,9
59,33,8
62,22,16
64,22,14
57,31,12
64,24,12
58,26,16
62,26,12
68,26,6
50,34,16
54,29,17
56,30,14
60,26,14
66,26,8
62,25,13
64,25,11
54,32,14
53,35,12
59,27,14
61,27,12
54,37,9
56,37,7
62,27,11
61,29,10
57,29,14
67,21,12
57,33,10
63,24,13
54,32,14
54,34,12
63,23,14
58,29,13
53,32,15
60,21,19
65,23,12
64,24,12
61,25,14
46,39,15
70,24,6
63,24,13
61,23,16
65,21,14
55,31,14
59,26,15
65,22,13
67,27,6
56,35,9
59,33,8
59,31,10
58,33,9
61,28,11
67,24,9
68,21,11
52,34,14
58,27,15
64,26,10
63,29,8
58,28,14
57,33,10
57,31,12
61,25,14
60,29,11
45,42,13
59,34,7
58,34,8
63,23,14
62,29,9
45,40,15
54,31,15
50,30,20
59,35,6
56,35,9
60,25,15
56,27,17
62,22,16
65,28,7
55,34,11
58,28,14
50,35,15
65,28,7
58,32,10
69,24,7
54,29,17
63,27,10
60,29,11
57,27,16
55,33,12
56,29,15
62,28,10
54,33,13
59,31,10
65,20,15
58,33,9
56,36,8
59,25,16
62,15,23
58,30,12
59,23,18
61,28,11
56,29,15
54,31,15
54,31,15
57,28,15
56,29,15
56,29,15
65,30,5
56,32,12
62,24,14
62,30,8
64,27,9
54,33,13
57,27,16
60,26,14
56,34,10
65,23,12
54,28,18
59,30,11
57,28,15
57,30,13
61,28,11
47,36,17
60,26,14
75,19,6
60,23,17
62,30,8
60,28,12
58,30,12
54,33,13
59,30,11
72,16,12
56,33,11
55,32,13
58,24,18
60,31,9
52,30,18
59,31,10
64,25,11
53,38,9
59,36,5
57,36,7
59,27,14
58,26,16
58,27,15
62,31,7
63,21,16
61,26,13
54,31,15
59,27,14
58,35,7
63,24,13
55,37,8
61,27,12
53,36,11
66,24,10
65,27,8
62,24,14
55,26,19
59,31,10
64,25,11
58,27,15
53,34,13
55,35,10
56,26,18
58,32,10
58,30,12
58,29,13
59,29,12
49,35,16
48,40,12
62,22,16
66,24,10
57,26,17
47,30,23
62,25,13
51,32,17
54,38,8
68,24,8
56,34,10
55,31,14
54,32,14
64,27,9
53,36,11
56,27,17
58,28,14
58,28,14
57,35,8
63,27,10
62,28,10
59,32,9
47,36,17
59,22,19
56,34,10
63,23,14
60,25,15
59,30,11
51,33,16
61,33,6
41,41,18
58,28,14
65,27,8
65,23,12
58,31,11
62,28,10
65,25,10
60,30,10
55,33,12
62,26,12
61,23,16
61,31,8
64,22,14
54,37,9
57,32,11
65,22,13
57,33,10
46,42,12
57,33,10
63,31,6
58,29,13
57,25,18
54,35,11
59,29,12
67,24,9
56,29,15
61,30,9
59,32,9
61,24,15
59,26,15
58,30,12
53,32,15
66,26,8
61,30,9
66,19,15
59,29,12
59,28,13
55,34,11
56,30,14
58,26,16
68,20,12
58,31,11
61,25,14
55,29,16
57,32,11
55,30,15
63,28,9
52,37,11
65,23,12
59,33,8
52,31,17
48,31,21
52,31,17
56,29,15
57,33,10
56,34,10
54,30,16
64,27,9
61,24,15
65,22,13
56,31,13
51,31,18
57,31,12
